Ticker,Name,Sector,Industry,Large Growth,Large Value,Small Growth,Small Value,Market 3000,Midcap,Mid Growth,Mid Value,Top 200 stocks,10-20 Year Treasury Bond,1-3 Year Treasury Bond,20 Year Treasury Bond,3-7 Year Treasury Bond ,7-10 Year Treasury Bond ,Agency Bond ,500 Quality ,Global Water  , Senior Loan , Taxable Municipal Bond , Water Resources ,Clean Energy ,Emerging Markets Bond , MBS ,Brazil ,China ,NextGen Real Estate ,Merger Arbitrage ,China Internet ,Global Carbon,Cancer Immunotherapy ,China BioPharma ,Materials Select Sector,Inflation Expectations ,Natural Gas, VIX Mid-Term Futures ,Global Robotics and Automation  ,Sports Betting & iGaming ,Intl Large Company  ,Silver Trust,Corn ,Soybeans,Wheat ,Jets ,United States Natural Gas,Africa  ,Agribusiness , Environmental Services , Mortgage REIT Income , Semiconductor , Video Gaming and eSports , Emerging Markets Govt Bd Idx, Global ex-US Real Estate  Fd, Mega Cap 300 Value  ,Pharmaceuticals ,Semiconductor ,3D Printing ,Platinum,MLP,Dividend Dogs , Online Retail ,Cannabis ,ARK Innovation ,Dry Bulk Shipping ,Value and Momentum ,Communication Services,Consumer Discretionary,Consumer Staples,Work From Home ,Cyber Security ,Travel Tech ,Financials,Cloud Computing ,MicroCap  ,Industrials/Producer Drbls,North American Energy Infrastructure,Water ,South Korea ,Artificial Intelligence & Technology ,Health and Wellness ,Lithium & Battery Tech ,Uranium ,Health Care,Housing ,British Pound Strlng,Euro Trust,Japanese Yen Trust,Agriculture ,Precious Metals ,Healthcare Momentum ,BioTech & Genome ,Leisure & Entertainment ,Property & Casualty Insurance ,500 Quality , Solar ,Aluminum Strategy ,Nickel,Tin, Environmental Services , Uranium+Nuclear Energy ,Generative Artificial Intelligence ,Cybersecurity ,Communication Services,Consumer Discretionary,Consumer Staples,Energy,Financials,Health Care,Industrials,Information Technology,Materials,Real Estate,Utilities,Aerospace & Defense,Air Freight & Logistics,Automobile Components,Automobiles,Banks,Beverages,Biotechnology,Broadline Retail,Building Products,Capital Markets,Chemicals,Commercial Services & Supplies,Communications Equipment,Construction & Engineering,Construction Materials,Consumer Finance,Consumer Staples Distribution & Retail,Containers & Packaging,Distributors,Diversified Consumer Services,Diversified REITs,Diversified Telecommunication Services,Electric Utilities,Electrical Equipment,"Electronic Equipment, Instruments & Components",Energy Equipment & Services,Entertainment,Financial Services,Food Products,Gas Utilities,Ground Transportation,Health Care Equipment & Supplies,Health Care Providers & Services,Health Care REITs,Health Care Technology,Hotel & Resort REITs,"Hotels, Restaurants & Leisure",Household Durables,Household Products,Independent Power and Renewable Electricity Producers,Industrial Conglomerates,Industrial REITs,Insurance,Interactive Media & Services,IT Services,Leisure Products,Life Sciences Tools & Services,Machinery,Marine Transportation,Media,Metals & Mining,Mortgage Real Estate Investment Trusts (REITs),Multi-Utilities,Office REITs,"Oil, Gas & Consumable Fuels",Paper & Forest Products,Passenger Airlines,Personal Care Products,Pharmaceuticals,Professional Services,Real Estate Management & Development,Residential REITs,Retail REITs,Semiconductors & Semiconductor Equipment,Software,Specialized REITs,Specialty Retail,"Technology Hardware, Storage & Peripherals","Textiles, Apparel & Luxury Goods",Tobacco,Trading Companies & Distributors,Transportation Infrastructure,Water Utilities,Wireless Telecommunication Services,Market
CVGI,Commercial Vehicle Group Inc,Industrials,Automobiles & Auto Parts,0.13,0.34,0.41,0.46,0.26,0.37,0.27,0.39,0.17,0.15,0.12,0.16,0.18,0.18,0.16,0.16,0.38,0.08,0.22,0.41,0.36,0.30,0.20,0.22,0.17,0.33,0.28,0.17,0.06,0.36,0.05,0.36,-0.08,-0.08,-0.17,0.35,0.23,0.33,0.25,-0.09,-0.09,-0.12,0.33,-0.08,0.19,0.33,0.32,0.37,0.13,0.16,0.30,0.33,0.28,0.30,0.27,0.34,0.29,0.18,0.40,0.28,0.14,0.25,0.00,0.47,0.19,0.19,0.07,0.22,0.13,0.31,0.26,0.24,0.47,0.41,0.25,0.40,0.23,0.21,0.18,0.32,0.06,0.09,0.43,0.19,0.22,0.15,-0.03,0.18,0.27,0.34,0.36,0.13,0.16,0.38,0.06,0.19,0.00,0.32,0.09,0.24,0.10,0.37,0.38,0.26,0.28,0.38,0.32,0.42,0.34,0.41,0.38,0.31,0.24,0.28,0.41,0.18,0.36,0.14,0.30,0.27,0.41,0.35,0.43,0.36,0.35,0.43,0.30,0.35,0.29,0.35,0.18,0.27,0.35,0.38,0.27,0.42,0.40,0.29,0.26,0.35,0.22,0.29,0.33,0.29,0.31,0.26,0.34,0.33,0.35,0.40,0.08,0.30,0.36,0.29,0.27,0.34,0.28,0.38,0.36,0.44,0.23,0.36,0.35,0.33,0.24,0.38,0.26,0.30,0.26,0.26,0.28,0.32,0.40,0.31,0.32,0.29,0.30,0.28,0.38,0.31,0.32,0.24,0.44,0.13,0.27,0.19,0.40
CVGW,Calavo Growers Inc,Consumer Staples,Food & Tobacco,0.15,0.30,0.35,0.39,0.24,0.30,0.28,0.31,0.19,0.03,0.11,0.02,0.07,0.04,0.09,0.14,0.31,0.14,0.04,0.29,0.34,0.12,0.08,0.09,0.07,0.26,0.09,0.05,0.10,0.24,-0.02,0.21,-0.04,-0.03,-0.07,0.24,0.17,0.20,0.04,-0.02,-0.02,0.07,0.28,-0.04,0.08,0.24,0.32,0.26,0.06,0.17,0.12,0.22,0.26,0.29,0.18,0.29,0.07,0.17,0.27,0.27,0.10,0.28,-0.07,0.30,0.17,0.23,0.23,0.19,0.19,0.19,0.28,0.21,0.38,0.28,0.24,0.32,0.12,0.14,0.20,0.15,0.03,0.18,0.33,0.10,0.12,0.10,0.00,0.06,0.22,0.28,0.24,0.17,0.14,0.30,0.00,0.09,0.16,0.32,0.06,0.19,0.16,0.32,0.36,0.41,0.15,0.39,0.31,0.37,0.29,0.26,0.30,0.28,0.36,0.28,0.34,0.17,0.39,0.28,0.27,0.30,0.26,0.30,0.29,0.34,0.27,0.29,0.15,0.35,0.30,0.24,0.16,0.30,0.29,0.27,0.22,0.34,0.33,0.14,0.31,0.32,0.42,0.32,0.32,0.27,0.39,0.25,0.29,0.17,0.30,0.32,0.36,0.26,0.29,0.27,0.35,0.32,0.28,0.31,0.33,0.36,0.09,0.27,0.21,0.26,0.20,0.28,0.15,0.24,0.37,0.32,0.28,0.33,0.28,0.27,0.30,0.20,0.30,0.24,0.39,0.16,0.34,0.22,0.28,0.00,0.32,0.13,0.36
CVI,CVR Energy Inc,Energy,Oil & Gas,0.08,0.33,0.28,0.37,0.21,0.28,0.20,0.31,0.15,0.01,-0.01,0.01,0.00,0.01,-0.01,0.18,0.21,0.04,0.04,0.22,0.25,0.07,0.05,0.16,0.08,0.20,0.18,0.08,-0.02,0.23,0.14,0.24,-0.01,0.03,-0.17,0.17,0.23,0.29,0.12,0.08,0.09,0.00,0.11,0.04,0.24,0.28,0.28,0.30,0.03,0.04,0.08,0.22,0.33,0.24,0.11,0.21,0.09,0.39,0.31,0.19,0.19,0.16,-0.08,0.47,0.13,0.11,0.17,0.17,0.22,0.19,0.28,0.17,0.39,0.28,0.31,0.22,0.13,0.11,0.20,0.11,0.27,0.13,0.29,0.11,0.10,0.06,0.09,0.10,0.15,0.19,0.23,0.16,0.18,0.23,0.11,0.11,-0.06,0.28,0.29,0.12,0.15,0.27,0.30,0.26,0.53,0.34,0.25,0.32,0.21,0.32,0.28,0.22,0.21,0.21,0.27,0.16,0.34,0.22,0.22,0.18,0.31,0.28,0.36,0.31,0.22,0.32,0.18,0.31,0.23,0.28,0.18,0.24,0.31,0.22,0.19,0.30,0.23,0.47,0.18,0.30,0.23,0.24,0.32,0.21,0.27,0.20,0.22,0.21,0.26,0.32,0.21,0.22,0.22,0.23,0.25,0.21,0.19,0.29,0.26,0.32,0.26,0.32,0.27,0.30,0.18,0.31,0.53,0.25,0.12,0.19,0.25,0.27,0.25,0.18,0.30,0.14,0.20,0.22,0.33,0.20,0.23,0.24,0.33,0.17,0.15,0.14,0.33
CVLG,Covenant Logistics Group Inc,Industrials,Freight & Logistics Services,0.32,0.41,0.46,0.50,0.41,0.46,0.42,0.45,0.35,0.08,0.11,0.08,0.10,0.08,0.12,0.35,0.39,0.13,0.13,0.42,0.40,0.25,0.14,0.22,0.30,0.33,0.28,0.30,0.14,0.30,0.15,0.37,-0.12,-0.11,-0.23,0.46,0.37,0.38,0.06,0.02,0.07,0.05,0.39,-0.09,0.24,0.37,0.36,0.39,0.31,0.35,0.26,0.43,0.37,0.45,0.38,0.47,0.14,0.22,0.42,0.42,0.12,0.37,-0.04,0.40,0.38,0.38,0.22,0.34,0.29,0.40,0.35,0.33,0.51,0.50,0.18,0.43,0.31,0.38,0.38,0.30,0.07,0.24,0.45,0.22,0.22,0.14,0.03,0.02,0.30,0.35,0.44,0.17,0.35,0.35,0.06,0.08,0.07,0.36,0.09,0.26,0.20,0.47,0.51,0.39,0.28,0.47,0.36,0.50,0.43,0.37,0.40,0.22,0.33,0.49,0.51,0.29,0.45,0.34,0.30,0.41,0.44,0.43,0.46,0.44,0.39,0.46,0.40,0.43,0.37,0.41,0.25,0.46,0.36,0.36,0.15,0.41,0.47,0.28,0.40,0.42,0.30,0.25,0.63,0.37,0.43,0.27,0.38,0.40,0.47,0.48,0.30,0.27,0.40,0.32,0.38,0.43,0.40,0.41,0.37,0.50,0.34,0.47,0.26,0.40,0.11,0.44,0.26,0.32,0.35,0.33,0.35,0.41,0.39,0.32,0.34,0.41,0.37,0.30,0.49,0.39,0.45,0.32,0.46,0.26,0.25,0.32,0.47
CVLT,Commvault Systems Inc,Information Technology,Software & IT Services,0.50,0.43,0.50,0.39,0.53,0.51,0.58,0.45,0.51,0.27,0.18,0.27,0.21,0.24,0.18,0.52,0.40,0.17,0.28,0.44,0.34,0.36,0.28,0.24,0.22,0.33,0.16,0.23,0.15,0.29,0.20,0.38,-0.18,-0.01,-0.34,0.51,0.45,0.42,0.13,0.10,0.15,0.06,0.29,0.00,0.20,0.26,0.36,0.30,0.44,0.48,0.36,0.37,0.41,0.30,0.44,0.46,0.13,0.18,0.29,0.46,0.17,0.44,0.10,0.33,0.38,0.49,0.24,0.53,0.50,0.46,0.40,0.56,0.37,0.49,0.19,0.45,0.33,0.53,0.38,0.26,0.27,0.30,0.42,0.30,0.29,0.19,0.03,0.10,0.36,0.35,0.44,0.18,0.52,0.36,0.05,0.03,-0.01,0.36,0.26,0.30,0.34,0.40,0.42,0.36,0.19,0.36,0.35,0.47,0.52,0.39,0.36,0.23,0.42,0.28,0.37,0.21,0.26,0.34,0.31,0.39,0.44,0.44,0.35,0.43,0.29,0.42,0.43,0.41,0.33,0.32,0.21,0.36,0.29,0.27,0.15,0.38,0.51,0.14,0.39,0.43,0.28,0.20,0.47,0.39,0.37,0.27,0.25,0.31,0.46,0.39,0.24,0.32,0.32,0.37,0.34,0.42,0.51,0.27,0.35,0.44,0.22,0.36,0.37,0.33,0.15,0.29,0.21,0.31,0.27,0.34,0.30,0.47,0.39,0.31,0.29,0.47,0.51,0.34,0.39,0.38,0.40,0.27,0.49,0.24,0.24,0.19,0.44
CVLY,Codorus Valley Bancorp Inc,Financials,Banking Services,0.18,0.45,0.48,0.58,0.34,0.45,0.36,0.49,0.26,0.28,0.30,0.28,0.30,0.29,0.28,0.23,0.40,0.22,0.31,0.37,0.49,0.35,0.31,0.34,0.16,0.40,0.24,0.14,0.10,0.37,-0.01,0.35,-0.13,0.03,-0.15,0.40,0.35,0.35,0.29,0.04,0.04,0.04,0.34,0.01,0.20,0.49,0.45,0.47,0.13,0.25,0.38,0.44,0.39,0.41,0.28,0.44,0.19,0.30,0.50,0.36,0.14,0.38,-0.03,0.40,0.19,0.26,0.23,0.32,0.23,0.38,0.46,0.29,0.60,0.40,0.39,0.39,0.20,0.22,0.28,0.31,0.06,0.26,0.49,0.22,0.29,0.29,0.06,0.25,0.32,0.47,0.38,0.13,0.23,0.47,0.07,0.05,0.08,0.45,0.11,0.30,0.24,0.45,0.48,0.45,0.36,0.62,0.44,0.49,0.42,0.50,0.49,0.44,0.39,0.38,0.45,0.31,0.66,0.32,0.41,0.38,0.34,0.51,0.50,0.48,0.39,0.39,0.32,0.50,0.42,0.47,0.14,0.36,0.44,0.43,0.35,0.48,0.43,0.33,0.37,0.51,0.43,0.43,0.42,0.38,0.44,0.36,0.41,0.35,0.44,0.41,0.31,0.49,0.42,0.37,0.40,0.38,0.40,0.51,0.45,0.47,0.23,0.46,0.44,0.47,0.34,0.48,0.35,0.40,0.35,0.34,0.36,0.49,0.52,0.45,0.43,0.31,0.40,0.39,0.49,0.38,0.45,0.31,0.43,0.15,0.38,0.23,0.53
CVNA,Carvana Co,Consumer Discretionary,Specialty Retailers,0.34,0.46,0.56,0.56,0.45,0.52,0.51,0.52,0.38,0.26,0.18,0.27,0.24,0.26,0.20,0.36,0.43,0.17,0.25,0.45,0.51,0.31,0.27,0.28,0.26,0.44,0.22,0.26,0.04,0.46,0.13,0.34,-0.15,-0.11,-0.26,0.46,0.47,0.38,0.17,-0.02,0.04,0.07,0.42,-0.10,0.24,0.40,0.40,0.45,0.26,0.34,0.32,0.40,0.39,0.45,0.38,0.53,0.21,0.27,0.44,0.62,0.25,0.57,0.01,0.48,0.31,0.43,0.22,0.48,0.38,0.48,0.37,0.45,0.51,0.50,0.28,0.47,0.30,0.39,0.44,0.34,0.07,0.27,0.52,0.25,0.29,0.14,0.06,0.13,0.42,0.45,0.48,0.00,0.36,0.41,0.01,0.11,0.04,0.40,0.13,0.31,0.27,0.52,0.59,0.49,0.33,0.50,0.51,0.56,0.51,0.46,0.48,0.33,0.46,0.45,0.47,0.40,0.45,0.40,0.46,0.51,0.46,0.48,0.47,0.49,0.44,0.49,0.30,0.55,0.38,0.40,0.28,0.52,0.41,0.46,0.25,0.53,0.47,0.37,0.48,0.51,0.43,0.28,0.49,0.48,0.49,0.38,0.44,0.39,0.55,0.54,0.33,0.40,0.40,0.41,0.37,0.50,0.48,0.52,0.55,0.54,0.28,0.48,0.40,0.44,0.23,0.46,0.29,0.38,0.45,0.46,0.47,0.51,0.48,0.38,0.38,0.38,0.53,0.45,0.60,0.42,0.50,0.27,0.48,0.21,0.31,0.14,0.57
CVRX,CVRx Inc,Health Care,Healthcare Equipment & Supplies,0.26,0.31,0.40,0.36,0.32,0.36,0.37,0.34,0.27,0.06,0.12,0.04,0.13,0.10,0.11,0.28,0.33,0.14,0.09,0.33,0.32,0.20,0.17,0.21,0.23,0.28,0.15,0.24,0.05,0.37,-0.04,0.28,0.02,-0.01,-0.18,0.37,0.35,0.28,0.15,0.04,0.16,0.03,0.24,-0.02,0.23,0.26,0.33,0.26,0.24,0.36,0.19,0.31,0.26,0.35,0.34,0.38,0.20,0.14,0.29,0.29,0.18,0.33,0.12,0.21,0.24,0.27,0.18,0.30,0.26,0.31,0.27,0.30,0.35,0.32,0.11,0.35,0.19,0.30,0.31,0.26,0.09,0.22,0.35,0.24,0.25,0.17,-0.01,0.11,0.35,0.35,0.33,0.09,0.28,0.30,-0.05,0.03,0.10,0.33,0.11,0.20,0.13,0.35,0.36,0.33,0.15,0.30,0.42,0.35,0.37,0.31,0.32,0.21,0.33,0.33,0.33,0.22,0.26,0.28,0.39,0.34,0.28,0.30,0.31,0.34,0.30,0.29,0.26,0.35,0.27,0.26,0.20,0.33,0.26,0.26,0.15,0.31,0.36,0.17,0.31,0.34,0.28,0.20,0.32,0.47,0.34,0.16,0.28,0.25,0.36,0.31,0.21,0.22,0.36,0.28,0.23,0.33,0.35,0.33,0.37,0.34,0.15,0.34,0.28,0.22,0.12,0.28,0.14,0.21,0.24,0.30,0.36,0.32,0.38,0.30,0.29,0.33,0.35,0.27,0.32,0.27,0.32,0.23,0.31,0.12,0.29,0.15,0.38
CVS,CVS Health Corp,Health Care,Healthcare Providers & Services,0.09,0.27,0.18,0.22,0.18,0.22,0.15,0.23,0.15,0.06,-0.05,0.07,0.00,0.03,-0.04,0.10,0.26,0.08,0.06,0.22,0.18,0.05,0.02,0.18,0.02,0.19,0.17,0.02,0.09,0.17,0.01,0.18,-0.08,0.06,-0.12,0.11,0.10,0.15,-0.06,0.06,-0.04,0.10,0.20,0.05,0.05,0.25,0.23,0.16,-0.09,0.01,0.06,0.15,0.29,0.26,0.00,0.14,0.04,0.17,0.26,0.17,0.09,0.19,-0.12,0.15,0.09,0.21,0.25,0.04,0.05,0.12,0.29,0.03,0.21,0.19,0.21,0.22,0.13,0.02,0.10,0.14,0.04,0.41,0.22,0.04,0.03,-0.01,0.09,-0.03,0.16,0.25,0.16,0.23,0.10,0.20,0.05,0.01,0.00,0.23,0.08,0.01,-0.01,0.17,0.19,0.24,0.11,0.22,0.23,0.18,0.10,0.14,0.21,0.27,0.19,0.20,0.16,0.17,0.19,0.20,0.21,0.11,0.18,0.22,0.19,0.17,0.13,0.12,0.12,0.18,0.24,0.16,0.13,0.10,0.23,0.22,0.28,0.16,0.11,0.09,0.14,0.16,0.19,0.24,0.16,0.17,0.27,0.19,0.17,0.20,0.19,0.18,0.19,0.18,0.20,0.17,0.30,0.13,0.10,0.20,0.18,0.16,0.04,0.17,0.09,0.15,0.27,0.18,0.11,0.08,0.15,0.19,0.25,0.18,0.15,0.21,0.26,0.00,0.13,0.18,0.18,0.04,0.19,0.20,0.13,0.06,0.27,0.06,0.21
CVX,Chevron Corp,Energy,Oil & Gas,0.05,0.42,0.25,0.36,0.23,0.30,0.20,0.33,0.17,0.01,-0.06,0.03,-0.04,-0.02,-0.01,0.26,0.19,0.21,0.01,0.19,0.29,0.09,0.01,0.21,0.16,0.21,0.24,0.13,0.04,0.18,0.00,0.27,0.08,0.12,-0.09,0.19,0.13,0.28,0.09,-0.05,0.02,0.07,0.14,0.14,0.26,0.40,0.31,0.25,-0.01,0.16,0.11,0.23,0.45,0.21,0.11,0.25,0.14,0.50,0.40,0.22,0.24,0.19,0.05,0.27,0.14,0.09,0.19,0.11,0.08,0.24,0.36,0.11,0.37,0.27,0.45,0.21,0.17,0.08,0.24,0.16,0.23,0.18,0.23,0.08,0.03,0.01,0.06,0.08,0.13,0.20,0.18,0.12,0.26,0.27,0.04,0.07,0.04,0.31,0.23,0.06,0.00,0.30,0.30,0.30,0.64,0.31,0.20,0.31,0.22,0.32,0.29,0.26,0.29,0.25,0.27,0.12,0.29,0.17,0.18,0.29,0.15,0.30,0.33,0.32,0.29,0.28,0.15,0.29,0.30,0.27,0.12,0.24,0.26,0.34,0.22,0.28,0.28,0.58,0.26,0.27,0.31,0.34,0.26,0.17,0.21,0.19,0.20,0.33,0.24,0.23,0.16,0.27,0.23,0.25,0.25,0.24,0.23,0.35,0.24,0.33,0.27,0.28,0.28,0.25,0.20,0.27,0.65,0.32,0.18,0.23,0.18,0.25,0.26,0.26,0.27,0.14,0.19,0.20,0.33,0.18,0.28,0.18,0.28,0.22,0.16,0.12,0.32
CW,Curtiss-Wright Corp,Industrials,Aerospace & Defense,0.30,0.43,0.35,0.35,0.40,0.41,0.39,0.41,0.36,0.07,0.06,0.06,0.05,0.07,0.04,0.38,0.35,0.07,0.08,0.44,0.25,0.18,0.09,0.18,0.13,0.26,0.16,0.12,0.06,0.15,0.20,0.33,0.05,0.16,-0.31,0.31,0.27,0.35,0.11,-0.07,-0.07,-0.02,0.15,0.17,0.09,0.27,0.46,0.27,0.19,0.24,0.17,0.22,0.43,0.28,0.23,0.22,0.12,0.32,0.29,0.21,0.06,0.17,0.20,0.27,0.25,0.27,0.27,0.25,0.26,0.25,0.41,0.25,0.37,0.44,0.34,0.43,0.23,0.26,0.24,0.14,0.20,0.38,0.31,0.15,0.12,0.11,-0.01,0.15,0.22,0.27,0.29,0.36,0.38,0.24,-0.02,-0.01,0.11,0.46,0.25,0.17,0.17,0.29,0.30,0.35,0.33,0.32,0.24,0.39,0.28,0.31,0.28,0.32,0.50,0.22,0.28,0.14,0.26,0.33,0.21,0.19,0.34,0.34,0.30,0.43,0.21,0.38,0.42,0.27,0.32,0.27,0.19,0.26,0.31,0.24,0.33,0.28,0.30,0.27,0.26,0.31,0.29,0.30,0.38,0.26,0.28,0.29,0.13,0.17,0.32,0.31,0.40,0.26,0.28,0.30,0.43,0.26,0.22,0.27,0.28,0.34,0.25,0.24,0.27,0.30,0.25,0.20,0.35,0.22,0.10,0.22,0.22,0.39,0.25,0.26,0.30,0.25,0.26,0.29,0.26,0.23,0.25,0.27,0.41,0.15,0.30,0.27,0.34
CWCO,Consolidated Water Co Ltd,Utilities,Water & Related Utilities,0.27,0.29,0.36,0.32,0.32,0.32,0.34,0.30,0.28,0.20,0.16,0.19,0.17,0.19,0.16,0.28,0.32,0.22,0.19,0.36,0.23,0.22,0.22,0.16,-0.07,0.28,0.15,-0.06,0.01,0.24,0.01,0.22,-0.16,-0.04,-0.24,0.28,0.25,0.22,0.05,-0.09,0.08,-0.05,0.23,-0.04,0.07,0.11,0.33,0.27,0.20,0.20,0.23,0.21,0.28,0.26,0.29,0.25,0.03,0.11,0.20,0.18,0.06,0.30,-0.06,0.25,0.18,0.30,0.15,0.29,0.28,0.27,0.27,0.29,0.33,0.31,0.15,0.37,0.14,0.25,0.17,0.05,0.12,0.30,0.33,0.15,0.13,-0.01,-0.01,0.04,0.33,0.29,0.30,0.18,0.28,0.20,-0.01,-0.05,-0.21,0.33,0.16,0.17,0.17,0.23,0.24,0.21,0.10,0.29,0.27,0.32,0.31,0.22,0.28,0.20,0.29,0.20,0.23,0.11,0.25,0.21,0.25,0.14,0.35,0.28,0.22,0.34,0.23,0.31,0.32,0.20,0.16,0.16,0.08,0.22,0.25,0.26,0.13,0.24,0.32,0.07,0.13,0.31,0.19,0.19,0.22,0.26,0.28,0.25,0.24,0.20,0.26,0.26,0.15,0.15,0.21,0.31,0.29,0.17,0.26,0.20,0.18,0.30,0.06,0.26,0.19,0.26,0.13,0.23,0.11,0.21,0.20,0.17,0.25,0.33,0.29,0.23,0.27,0.27,0.31,0.27,0.21,0.23,0.23,0.12,0.32,0.08,0.45,0.14,0.30
CWEN,Clearway Energy Inc,Utilities,Electric Utilities & IPPs,0.22,0.56,0.47,0.55,0.40,0.52,0.41,0.55,0.32,0.38,0.32,0.37,0.37,0.39,0.38,0.27,0.59,0.34,0.36,0.45,0.57,0.50,0.43,0.52,0.27,0.58,0.28,0.26,0.11,0.42,0.11,0.47,-0.19,0.02,-0.24,0.44,0.38,0.51,0.37,-0.12,0.03,0.00,0.39,0.03,0.32,0.50,0.44,0.54,0.09,0.26,0.51,0.56,0.50,0.43,0.30,0.45,0.34,0.35,0.59,0.44,0.17,0.43,-0.11,0.35,0.26,0.36,0.39,0.36,0.25,0.43,0.46,0.30,0.46,0.43,0.65,0.50,0.32,0.27,0.39,0.39,0.20,0.34,0.53,0.36,0.35,0.21,0.07,0.35,0.35,0.45,0.40,0.09,0.27,0.61,0.00,0.18,0.09,0.44,0.33,0.19,0.16,0.48,0.49,0.54,0.34,0.49,0.47,0.48,0.42,0.53,0.55,0.73,0.44,0.36,0.47,0.33,0.44,0.50,0.44,0.48,0.35,0.49,0.47,0.43,0.42,0.39,0.32,0.47,0.46,0.39,0.20,0.41,0.51,0.44,0.64,0.52,0.42,0.28,0.43,0.49,0.49,0.59,0.40,0.44,0.46,0.49,0.38,0.40,0.42,0.42,0.38,0.77,0.49,0.50,0.37,0.45,0.42,0.46,0.45,0.43,0.22,0.41,0.52,0.49,0.63,0.49,0.35,0.37,0.41,0.42,0.40,0.40,0.50,0.53,0.51,0.30,0.43,0.54,0.49,0.24,0.43,0.36,0.35,0.24,0.51,0.31,0.53
CWH,Camping World Holdings Inc,Consumer Discretionary,Specialty Retailers,0.38,0.64,0.70,0.73,0.56,0.68,0.62,0.69,0.46,0.37,0.24,0.37,0.35,0.37,0.28,0.46,0.62,0.31,0.40,0.58,0.66,0.49,0.42,0.44,0.31,0.57,0.42,0.31,0.08,0.55,0.16,0.53,-0.11,-0.02,-0.36,0.66,0.60,0.59,0.20,-0.05,0.12,-0.01,0.55,0.01,0.41,0.53,0.55,0.60,0.37,0.49,0.50,0.59,0.56,0.52,0.54,0.63,0.29,0.33,0.61,0.56,0.16,0.61,0.02,0.58,0.41,0.51,0.32,0.51,0.40,0.60,0.57,0.47,0.63,0.66,0.43,0.62,0.40,0.47,0.51,0.41,0.21,0.40,0.71,0.36,0.39,0.27,0.06,0.20,0.54,0.58,0.63,0.14,0.46,0.63,0.05,0.19,0.01,0.55,0.29,0.31,0.28,0.63,0.71,0.57,0.35,0.64,0.62,0.67,0.62,0.57,0.59,0.47,0.60,0.47,0.65,0.41,0.58,0.51,0.58,0.58,0.60,0.62,0.59,0.59,0.60,0.53,0.48,0.64,0.48,0.50,0.36,0.52,0.51,0.50,0.36,0.64,0.64,0.30,0.56,0.66,0.51,0.47,0.57,0.61,0.62,0.45,0.51,0.54,0.67,0.67,0.35,0.55,0.51,0.54,0.49,0.57,0.55,0.66,0.62,0.65,0.30,0.61,0.49,0.56,0.31,0.52,0.36,0.49,0.54,0.49,0.50,0.56,0.58,0.49,0.54,0.53,0.58,0.54,0.69,0.51,0.64,0.38,0.58,0.33,0.40,0.37,0.69
CWK,Cushman & Wakefield PLC,Real Estate,Real Estate Operations,0.36,0.64,0.70,0.75,0.55,0.70,0.61,0.72,0.44,0.38,0.30,0.37,0.40,0.40,0.35,0.41,0.66,0.28,0.41,0.64,0.63,0.51,0.45,0.44,0.26,0.67,0.36,0.26,0.02,0.52,0.14,0.55,-0.18,-0.03,-0.30,0.60,0.59,0.56,0.30,0.04,0.13,-0.01,0.50,-0.02,0.33,0.56,0.59,0.68,0.29,0.43,0.53,0.60,0.55,0.52,0.48,0.62,0.39,0.36,0.64,0.57,0.23,0.60,-0.02,0.57,0.37,0.49,0.24,0.54,0.45,0.59,0.60,0.53,0.70,0.66,0.48,0.65,0.37,0.43,0.45,0.42,0.20,0.28,0.73,0.40,0.40,0.17,0.03,0.24,0.45,0.51,0.63,0.19,0.41,0.60,0.07,0.22,0.04,0.59,0.26,0.34,0.32,0.64,0.69,0.56,0.44,0.74,0.59,0.71,0.65,0.64,0.76,0.58,0.59,0.50,0.64,0.41,0.69,0.48,0.55,0.59,0.65,0.72,0.65,0.63,0.61,0.64,0.54,0.68,0.48,0.53,0.34,0.57,0.68,0.58,0.48,0.69,0.68,0.42,0.56,0.71,0.51,0.55,0.57,0.56,0.60,0.59,0.58,0.57,0.64,0.67,0.39,0.60,0.57,0.68,0.54,0.57,0.62,0.64,0.59,0.67,0.27,0.62,0.56,0.67,0.43,0.70,0.43,0.49,0.47,0.41,0.50,0.63,0.77,0.62,0.69,0.52,0.63,0.67,0.65,0.55,0.58,0.39,0.69,0.23,0.56,0.33,0.73
